Date,Open,High,Low,Close,Volume,Diff
2015-10-30,1345000,1390000,1341000,1372000,498776,49000
2015-10-29,1330000,1392000,1324000,1325000,622336,68000
2015-10-28,1294000,1308000,1291000,1308000,257374,17000
2015-10-27,1282000,1299000,1281000,1298000,131144,18000
2015-10-26,1298000,1298000,1272000,1292000,151996,26000
2015-10-23,1300000,1300000,1278000,1289000,252105,22000
2015-10-22,1280000,1295000,1269000,1280000,229326,26000
2015-10-21,1265000,1282000,1259000,1270000,138655,23000
2015-10-20,1260000,1273000,1256000,1266000,137788,17000
2015-10-19,1257000,1265000,1249000,1256000,116290,16000
2015-10-16,1265000,1269000,1259000,1265000,141898,10000
2015-10-15,1244000,1282000,1243000,1269000,243476,39000
2015-10-14,1248000,1260000,1237000,1254000,174719,23000
2015-10-13,1260000,1272000,1248000,1252000,195273,24000
2015-10-12,1260000,1263000,1247000,1260000,301807,16000
2015-10-08,1250000,1279000,1250000,1270000,500566,29000
2015-10-07,1198000,1252000,1186000,1251000,795678,66000
2015-10-06,1130000,1155000,1127000,1151000,371835,28000
2015-10-05,1119000,1131000,1115000,1115000,210583,16000
2015-10-02,1112000,1133000,1112000,1119000,247859,21000
2015-10-01,1140000,1145000,1121000,1134000,229173,24000
2015-09-30,1100000,1134000,1090000,1134000,354069,44000
2015-09-25,1120000,1125000,1109000,1112000,187315,16000
2015-09-24,1126000,1135000,1125000,1126000,131384,10000
2015-09-23,1144000,1144000,1125000,1131000,195174,19000
2015-09-22,1143000,1150000,1130000,1145000,246705,20000
2015-09-21,1163000,1173000,1150000,1150000,196809,23000
2015-09-18,1145000,1192000,1135000,1190000,421097,57000
2015-09-17,1153000,1157000,1144000,1157000,253091,13000
2015-09-16,1121000,1157000,1121000,1152000,338783,36000
2015-09-15,1114000,1128000,1113000,1123000,212880,15000
2015-09-14,1120000,1124000,1110000,1124000,164129,14000
2015-09-11,1126000,1133000,1115000,1115000,201720,18000
2015-09-10,1130000,1139000,1118000,1134000,356879,21000
2015-09-09,1146000,1147000,1136000,1147000,235189,11000
2015-09-08,1113000,1136000,1106000,1131000,181352,30000
2015-09-07,1129000,1129000,1105000,1112000,190922,24000
2015-09-04,1144000,1144000,1118000,1129000,249642,26000
